Estimated Budgeting for Project Thinkal - Awareness creation and distribution of 2000 M-Cups in the Beed District,,,,,,,,,
Sl. No.,Phase,Detail of Expense,*Item,Qty,Rate,Amount,Total Estimated Financials,,
02-06-2026,,Settlement of Arathy Vinod (Printing & Stationery expenses),218,Accounted,Paid,Project Expense,Implementation Phase,Awareness creation & Distribution of McUPS,Printing & Stationary
02-06-2026,,Settlement of Arathy Vinod (Others Refreshment),1545,Accounted,Paid,Project Expense,Implementation Phase,Awareness creation & Distribution of McUPS,others refreshment
14-05-2026,,Remuneration to TPC staff(March salary),"54,605.00",Accounted,Paid,Project Expense,Implementation Phase,Awareness creation & Distribution of McUPS,Project Salary
01-06-2026,,Settlement of Arathy Vinod (Postal Charges & Courier),1687,Accounted,Paid,Project Expense,Design & Initiation Phase,Developing Communication,Postal & Courier Charge
25-05-2026,,Miscellaneous advance,15719,Committed,,Project Expense,Implementation Phase,Awareness creation & Distribution of McUPS,
25.05.2026,,Telephone charges(Reliance),293.82,Accounted,,Project Expense,Implementation Phase,Awareness creation & Distribution of McUPS,Telephone recharge
28-05-2026,,M/S Polus Solutions(Digital information system)Renewing the subcscription of VOIP,"62,304.00",Accounted,,Project Expense,Implementation Phase,Awareness creation & Distribution of McUPS,Renewing the subscription of VIOP DIS
28-05-2026,,Digital KIOSK Installation -,85200,Committed,,Project Expense,Monitoring & Evaluation Phase,Developing Communication,Procurement of Materials
18-06-2026,,Arathy Vinod-Adv Settlement-Conveyance,"1,128.00",Accounted,Paid,Project Expense,Implementation Phase,Conveyance,
18-06-2026,,Arathy Vinod-Adv Settlement-Travelling Expense,"6,115.00",Accounted,Paid,Project Expense,Implementation Phase,Long distance travel,
18-06-2026,,Arathy Vinod-Adv Settlement-Trainers Refreshment,"1,495.00",Accounted,Paid,Project Expense,Implementation Phase,Trainers Refreshment,
20-06-2026,,Mis Advance-Third Installment,"10,000.00",Committed,Paid,Project Expense,Implementation Phase,,
