HR EXPENSES March 2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sl No,Vendor,Service,Payment frequency,Annual commitment,Monthly Average,"Actual 
expense",HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,CPCL NILGIRIS,LSGB,HR REVENUE,,Month,HLL Malappuram,"Power Grid Corporation of India Limited - Yelahanka, Bangalore",Cochin Shipyard Limited - Andaman,IOCL - Panipat,"HLL Cotton Hill, Trivandrum",Swasthya-An innovative behaviour change programme for Aneamia in women of reproductive age,Counselling support for transgender individuals-pre and post surgery and non surgical pathways in gender transition,Inclusive community mental health initiative in Wayanad district,My City,Exploring the correlation and Diagnostic potential of Menstrual Blood,HLL Maharashtra,HMA HR REVENUE,LSGB,
14,VRS infosystems,Tally Software Renewal,Annualy,16000,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,M/sArmtech Computer Services,CAMC computer hardware,Quarterly,15000,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Nu aire,AC AMC,Quarterly,36000,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Miscellaneous,Repair & Maintenance,Monthly,50000,4167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Microsoft 365,Software,Annualy,7000,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Asterisk,Photocopier (Admin & DVP),Monthly,60000,5000,2671,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,
20,Indian Postal Department,Speed post,Monthly,120000,10000,11288,0,0,0,0,0,0,0,0,0,0,2340,8948,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2572
21,Pradeep Kumar Cost Accountant,Financial Consultant,Monthly,216000,18000,72000,30000,0,0,10000,0,0,0,0,0,32000,,,,,,,,,,,,,,,,,,,
21,Pradeep Kumar Cost Accountant,Financial Consultant,Monthly,216000,18000,90000,0,0,54000,20000,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
22,Pradeep Kumar Cost Accountant,Accounts Assistance,Monthly,750000,62500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
